"hello,Hi ","I am Agroxpert the Farmer's expert chatbot. Ask any question about farming or agriculture  How May i Help you? " 
"How many varieties of rice are grown in India? , How many types of rice are grown in India?","Approximately 6000 different varieties. But we have also lost tens thounsands of varieties from last 40 years" 
"which is the most popular rice grown in India?","Basumati rice is one of the popularly grown in India." 
"what is the history behind basumati?",In 1997 American got patent over basumati rice by biopiracy
"what is  biopiracy?","Biopiracy is the commercial exploitation of naturally occurring biochemical or genetic material  without proper authorisation is known as biopiracy"
"How many varieties of basumati are documented?","27 types of basumati rice are documented till now" 
"what is the life span of paddy?","It is  perennial plant which lives for more than 2 years"
"In which month paddy is harvested?","In November-December the paddy should be harvested"
"In which month paddy should be grown?","we should start cultivating paddy in the month of june-july"
"How long does it take to harvest paddy?","It normally takes 3 months to harvest paddy"
"how is rice stored after harvesting?"," it should be threshed immediately after harvesting and maintain it by storing the grains at ambient temperature and Humidity <60% in dedicated area"
"How to protect the rice from pest?","Using pesticides or by packing the well treated  quality rice"
"what should we do after harvesting?","After harvesting it should be dried to certain duration in certain temperature and store it.Delays in drying  incomplete drying or ineffective drying will reduce grain quality and result in losses"
"why are paddy fields drained?","Mid-season drainage reduces methane emissions of paddy fields  with reductions ranging from 7 to 95%"
"when is paddy fields drained?","About 7 days towards the end of tillering in the middle of the season. field maintenance. Threshing. winnowing and milling"
"what are the steps taken to grow paddy?","preparation of fields transplantations or seedling"
"How field is prepared for growing paddy?","Removal of weeds. ploughing the field. adding mannures and fertilizers. covered with water of about 2.5 cm. seedling"
"How seedling is done?,How is seedling  done?","Sown directly in the field and the seedlings sprout when the rain comes"
"how is transplating of seed is done?","Manual transplanting is done either at random or in straight-rows"
"what is random transplanting method?","seedlings are transplanted without a definite distance or space between plants"
"what is straight-row transplanting?","The straight-row method follows a uniform spacing between plants"
"Thanks, quit","It was my opportunity to serve you please fell free to ask any more questions related to agriculture or farming" 
"which type of soil is used for growing rice,paddy?,what kind of land is needede for growing rice,paddy?","Rice grows on a variety of soils like silts, loams and gravels in India"
"what can you do?,what do you know?","I am AgroXpert, I can help you by answering your queries regarding farming""great answer"
"great answer","Thanks for compliment please clear your doubts related to farming at any time anywhere. Have a nice day" 
"What are u doing","something"
"What are u doing","1234"
"who are you?","I am just an chatbot made to answer the questions related to farming and agriculture <a href='http://localhost/phpmyadmin/sql.php?db=agroxpert&table=admin&pos=0'> Link 1click me</a> <a href='http://localhost/phpmyadmin/sql.php?db=agroxpert&table=admin&pos=0'> Link 1click me</a>"
